Net,Temperature
44217.59900000001,-6.0
43586.734,-6.0
42434.78,-6.4
40787.96,-7.6
39279.675,-9.4
38140.166000000005,-10.7
37695.289,-11.5
37554.28999999999,-11.8
37607.887,-12.7
38006.583,-13.4
38896.288,-13.4
40247.151,-13.9
41341.53,-14.2
41332.962,-13.8
40087.725000000006,-13.9
37762.581000000006,-13.9
35779.217000000004,-13.8
33828.714,-12.7
32383.023,-10.1
31895.483,-7.6
32415.614,-5.0
34252.46,-3.1
36745.52,-2.8
37949.238,-2.3
37714.98100000001,-1.7
37252.244,-1.3
36304.425,-1.4
34942.25,-1.5
33534.319,-1.2
32333.383,-0.7
31670.168,-0.5
31353.26,-0.2
31256.495,0.2
31539.119,0.4
32162.884,0.4
33169.528,0.4
33814.822,0.5
33257.082,0.4
31661.864,0.4
30159.346,0.0
28824.949,-0.3
27751.768,0.0
27081.076,0.8
27348.782000000003,2.0
28527.428,3.0
30412.822000000004,4.1
32841.635,4.7
33760.917,5.0
33036.577000000005,5.3
32701.367,4.9
32007.34,3.8
31076.519,2.2
29702.604,-0.2
28646.5,-1.5
28201.493,-1.8
28197.112000000005,-1.5
28562.09,-1.5
29616.108,-1.6
31923.177,-2.1
35355.482,-2.4
36813.833,-2.4
35249.491,-1.7
32533.071,0.1
30400.053,0.2
28879.153,-0.7
27826.318,-0.5
27585.316,3.3
27785.203,6.6
28560.725,8.5
30099.774,10.0
32411.265000000003,12.1
33808.575,13.4
33676.897000000004,11.7
33133.153,10.8
31800.937,8.7
29928.325,6.2
28229.63,4.2
27101.112,2.8
26562.817000000003,0.7
26471.79,-0.3
26635.255,-0.9
27448.998,-0.9
29507.379,-1.1
32740.012999999995,-1.1
33933.73100000001,-0.6
32432.654,0.5
30503.166,1.5
28613.354,0.6
27271.018,1.2
26503.464,1.4
26277.634,4.1
26584.524,7.7
27522.989,10.2
29203.358,13.5
31367.857,14.1
32433.325,15.3
32166.63,15.3
31465.272000000004,14.8
30049.392,13.5
28198.773,10.4
26411.919,6.5
25169.674,3.4
24675.701,4.5
24532.24,7.8
24864.463,6.6
25814.519,5.0
28119.378,4.2
31623.676000000003,3.3
33134.822,2.3
31597.447,0.7
29790.668,-0.4
28810.44,-1.9
28328.529,-2.5
28913.327,-1.0
29564.467000000004,1.3
30493.986000000004,2.5
31391.195,3.3
32557.845,4.5
34388.139,5.5
34760.846,5.7
34359.321,5.0
33521.616,4.0
31926.494,3.1
29751.861,2.3
27816.664,2.4
26351.677,2.6
25601.337000000003,1.9
25296.282000000003,1.5
25331.409,2.1
26045.178,2.7
28151.125,2.2
31444.693,1.6
33025.585,1.2
32572.955,1.2
32012.855,1.5
31540.243,1.8
30617.184,2.0
30290.297999999995,2.0
30295.729,2.3
30418.05,3.0
30885.143,3.7
31942.054,4.1
33656.111000000004,4.4
34112.402,4.6
33668.554000000004,5.1
32918.871,5.1
31493.47,5.0
29370.352,4.3
27497.932,3.7
26081.322000000004,3.5
25317.272,3.4
24964.251,3.3
24956.501,3.2
25627.483,3.1
27566.03,3.0
30783.911,2.8
32501.819,2.6
32587.84,2.9
32297.837000000003,3.1
31908.524,3.0
30761.859,3.1
29187.001,3.4
27553.743,3.9
27461.795,4.6
28466.964,5.0
30647.732000000004,4.9
33037.872,5.8
34394.757999999994,6.8
34357.664000000004,7.1
34036.334,7.8
33366.027,7.9
32107.960000000003,6.8
30814.12,5.8
29795.381,3.2
29359.383,1.9
29235.918,1.0
29442.348,0.5
30000.027,-0.3
31089.336000000003,-1.0
32718.553,-1.7
33837.279,-2.6
33794.773,-3.5
32596.625,-4.1
31461.187000000005,-4.4
30281.117,-4.7
29423.57,-4.7
28528.829,-3.8
28533.566,-2.9
29411.83,-2.2
31819.343,-1.5
34697.169,-0.8
36258.686,-0.3
36209.382,0.1
35944.73,-0.1
35234.269,-0.6
34089.69,-1.6
32864.446,-2.6
31871.163,-3.4
31324.613,-4.2
31193.375,-4.2
31282.297999999995,-4.4
31728.739,-5.0
32608.077,-5.2
33863.879,-5.1
34388.302,-5.5
32837.569,-5.7
30723.1,-5.9
29253.203,-6.6
29104.121,-6.9
29282.324,-6.2
28875.278,-4.5
28981.287,-2.9
30315.196,-1.7
32783.982,-0.5
35160.093,0.1
36098.338,0.4
35840.669,0.6
35140.095,0.4
33843.816,-0.6
32273.632,-1.6
30753.814,-1.9
29759.914,-1.8
29279.359,-1.6
29114.131,-1.6
29367.44,-1.6
30256.465,-1.6
32268.837000000003,-1.6
35225.694,-1.9
36930.046,-2.2
37432.516,-2.4
37375.445,-2.3
36954.31799999999,-2.2
36363.757000000005,-2.0
35944.332,-1.7
35741.741,-1.3
35644.05,-1.0
35880.792,-0.7
36721.560000000005,-0.2
38406.375,0.9
38949.814000000006,1.7
38260.925,2.4
37245.707,2.0
35678.377,1.1
33521.706,-0.4
31707.104,-1.8
30423.953,-2.4
29805.645,-3.0
29515.474,-2.7
29665.928,-2.7
30483.482000000004,-3.0
32429.954,-3.1
35034.744,-3.2
36701.4,-3.8
37484.66499999999,-4.5
38068.196,-5.1
38407.507000000005,-5.5
38578.565,-6.1
38463.188,-6.0
38223.338,-5.6
37826.575,-4.8
37684.146,-4.2
38171.243,-3.5
39342.448,-3.0
39270.209,-3.4
38372.029,-3.3
37072.872,-2.8
35239.51,-2.4
32828.241,-2.1
30846.004,-1.3
29357.158,0.3
28590.796,0.7
28339.964,1.1
28379.783,1.8
29165.26,2.4
31248.307,3.4
34283.272,1.9
35365.151,1.5
33985.533,1.7
31615.277,1.8
30818.84,1.6
30982.129,1.7
31610.088,1.8
32250.116000000005,2.1
32128.924000000003,3.0
32335.451,4.1
33776.503,5.4
36020.954,6.2
37458.44299999999,6.2
37340.359,5.7
36753.545,4.7
35366.849,4.0
33244.795999999995,2.8
31381.899,2.0
30053.121000000003,1.4
29440.154,1.4
29087.615,1.0
29289.6,0.6
30217.203,0.1
32405.623,-0.6
35752.238,-0.7
36650.232,-0.8
34133.223,-1.1
31528.824,-1.2
30110.722,-1.5
29327.189,-1.5
28944.943,-0.8
28861.153,0.3
29286.352000000003,1.3
29909.381,2.1
31802.035,3.2
34049.655,3.7
35182.776000000005,4.3
34913.183,4.8
34193.301,4.7
32920.115,3.3
30943.295,1.8
29038.805,1.1
27628.869,-0.8
26812.214,-1.4
26454.78,-1.4
26383.237,-1.5
26996.532000000003,-1.7
28688.148,-1.4
31480.969,-1.2
32829.647000000004,0.7
32475.208,3.6
31764.952000000005,4.0
30941.956,4.6
29315.803,4.7
27561.669,5.1
26985.644,7.1
27405.764,8.6
28559.166,9.1
29647.717000000004,10.1
31040.033,9.8
31662.115,10.2
31109.288,9.8
30299.485,9.9
29285.247000000003,10.2
27802.72,9.4
26410.078,9.0
25265.057,9.1
24695.813,9.1
24466.807000000004,8.7
24534.119,8.7
25005.185,7.7
26014.007,6.4
27522.526,6.4
28623.528,5.2
28563.277,4.0
28193.963,3.1
27593.363,2.1
26891.427000000003,1.3
26337.563,1.0
25710.268,1.3
25451.74,2.4
26183.745,3.3
27862.511,4.3
30383.024,5.0
