Net,Temperature
51864.637,-9999.0
52452.772,-9999.0
53916.272,-9999.0
55786.365000000005,-9999.0
55664.695,-9999.0
55120.256,-9999.0
54126.649,-9999.0
52564.05,-6.7
50663.876,-7.0
49282.272,-9999.0
48177.244,-9999.0
47729.924,-9999.0
47367.46,-9999.0
47410.853,-9999.0
47865.616,-9999.0
48945.735,-9999.0
50362.801,-9999.0
51402.221,-9999.0
52002.342,-9999.0
51556.192,-3.7
50939.203,-3.3
50178.035,-2.8
49613.234,-2.0
49161.482,-2.2
49131.654,-2.1
50051.682,-2.0
52498.359,-9999.0
55624.373,-9999.0
55907.496,-9999.0
55759.505,-9999.0
54894.474,-2.2
53339.453,-9999.0
51536.598,-9999.0
50621.38799999999,-3.8
50168.16099999999,-4.4
50174.632000000005,-5.4
50447.587,-6.4
51409.655,-9999.0
53698.688,-7.8
57496.133,-9999.0
60140.812,-8.1
60360.917,-9999.0
59284.64,-9999.0
58078.251,-9999.0
56708.136,-9999.0
55491.907,-9999.0
54619.05099999999,-9999.0
53863.079000000005,-9999.0
53451.462,-9999.0
53790.97900000001,-9999.0
55497.45900000001,-9999.0
57208.64599999999,-9999.0
57153.83,-9999.0
56538.13,-9999.0
55138.848,-9999.0
53046.173,-9999.0
50831.413,-9999.0
49504.395,-9999.0
48773.881,-0.1
48721.212,0.3
48972.76,-0.2
49996.703,0.5
52322.162,0.9
56304.028,0.9
59400.48,0.3
60047.385,0.3
60477.164,0.5
60647.266,0.2
60763.12299999999,-0.3
60779.623,-0.7
60579.937000000005,-1.7
60197.552,-9999.0
60021.41,-9999.0
60716.352000000006,-9999.0
62460.792,-9999.0
65097.219000000005,-9999.0
65176.727,-9999.0
64684.848,-9999.0
63443.228,-9999.0
61552.244,-10.0
59478.27099999999,-11.0
58153.807,-11.5
57489.648,-11.9
57458.068,-12.6
57767.26,-13.1
58842.391,-13.6
60757.90700000001,-13.8
63576.189,-13.9
65927.648,-14.0
66864.99200000001,-13.5
67400.36600000001,-13.0
67873.872,-12.3
67810.589,-11.4
67574.13799999999,-11.0
66762.834,-9999.0
66084.91100000001,-9999.0
65610.468,-9999.0
66223.97099999999,-9999.0
68425.138,-9999.0
71202.622,-9999.0
71335.753,-9999.0
70739.459,-9999.0
69544.262,-9999.0
67700.656,-20.4
65954.639,-20.9
64502.845,-21.5
63867.624,-21.8
63418.725000000006,-22.1
63212.138,-22.4
63893.867,-22.6
65522.155,-22.8
68023.109,-22.9
69970.23999999999,-23.2
70154.017,-23.3
69430.41,-23.5
68471.332,-23.8
67233.993,-23.9
66039.087,-23.7
64796.912,-9999.0
63997.87099999999,-9999.0
63458.869000000006,-9999.0
64036.863000000005,-9999.0
65694.396,-9999.0
67925.76999999999,-9999.0
67849.218,-9999.0
67135.873,-9999.0
65429.839,-9999.0
63052.414,-14.1
60798.958,-14.5
59078.372,-14.3
57973.029,-14.3
57303.527,-13.7
56973.228,-13.0
57330.679,-12.5
58880.853,-12.1
61591.268,-12.0
63726.974,-12.0
64075.6,-11.8
64183.42,-11.4
63889.938,-10.9
62971.587,-9999.0
61929.006,-7.7
60730.80299999999,-6.7
59359.879,-5.6
58277.879,-9999.0
